Date,Open_SP500,High_SP500,Low_SP500,Close_SP500,Volume_SP500,Open_Yield,High_Yield,Low_Yield,Close_Yield,Volume_Yield,Open_DXY,High_DXY,Low_DXY,Close_DXY,Volume_DXY,Open_Oil,High_Oil,Low_Oil,Close_Oil,Volume_Oil,Open_Copper,High_Copper,Low_Copper,Close_Copper,Volume_Copper,Open_Gold,High_Gold,Low_Gold,Close_Gold,Volume_Gold,Open_VIX,High_VIX,Low_VIX,Close_VIX,Volume_VIX,Open_RSP,High_RSP,Low_RSP,Close_RSP,Volume_RSP,Open_NYMO,High_NYMO,Low_NYMO,Close_NYMO,Volume_NYMO,Open_NYAD,High_NYAD,Low_NYAD,Close_NYAD,Volume_NYAD,5d_pct_SP500,5d_pct_Yield,5d_pct_DXY,5d_pct_Oil,5d_pct_Copper,5d_pct_Gold,5d_pct_VIX,5d_pct_RSP,5d_pct_NYMO,5d_pct_NYAD,10d_ROC_SP500,10d_ROC_Yield,10d_ROC_DXY,10d_ROC_Oil,10d_ROC_Copper,10d_ROC_Gold,10d_ROC_VIX,10d_ROC_RSP,10d_ROC_NYMO,10d_ROC_NYAD,RSI_14_SP500,RSI_14_Yield,RSI_14_DXY,RSI_14_Oil,RSI_14_Copper,RSI_14_Gold,RSI_14_VIX,RSI_14_RSP,RSI_14_NYMO,RSI_14_NYAD,20d_slope_SP500,20d_slope_Yield,20d_slope_DXY,20d_slope_Oil,20d_slope_Copper,20d_slope_Gold,20d_slope_VIX,20d_slope_RSP,20d_slope_NYMO,20d_slope_NYAD,SMA_3_SP500,SMA_3_Yield,SMA_3_DXY,SMA_3_Oil,SMA_3_Copper,SMA_3_Gold,SMA_3_VIX,SMA_3_RSP,SMA_3_NYMO,SMA_3_NYAD,5d_Slope_SP500,5d_Slope_Yield,5d_Slope_DXY,5d_Slope_Oil,5d_Slope_Copper,5d_Slope_Gold,5d_Slope_VIX,5d_Slope_RSP,5d_Slope_NYMO,5d_Slope_NYAD,Normalized_ATR,BBW,TrendScore_Euclidean,MomentumScore_Euclidean,VolatilityScore_Euclidean,MarketState_Euclidean,EuclideanDist_Euclidean,Diagnostics_Euclidean,TopState,TopDist,AltState,AltDist,DistanceDelta,IsBorderline,Year
2017-04-10,2357.16,2366.37,2351.5,2357.16,2792570000.0,2.39,2.39,2.35,2.36,0.0,101.13,101.34,100.94,101.02,0.0,52.31,53.18,52.29,53.08,565439.0,2.6435,2.6455,2.599,2.604,81584.0,1255.6,1258.9,1248.2,1253.9,182195.0,13.24,14.11,12.94,14.05,0.0,90.59,91.03,90.43,90.71,489542.0,97.8000030517578,97.8000030517578,97.8000030517578,97.8000030517578,0.0,1242.9599609375,1242.9599609375,1242.9599609375,1242.9599609375,0.0,-0.0712214478303052,0.4255319148936065,0.4774219216232334,5.652866242038201,0.0192049164586149,-0.0079744816586901,13.489499192245557,0.2763652443068753,24.300969334546707,0.65186341798249,0.6649328020703837,-0.4219409282700481,1.865483513159205,11.20888330190657,-1.0638297872340383,-0.1433463406864676,12.400000000000013,1.1823759063022798,-1129.4737163342927,1.9020094925339404,60.32694121345504,38.23529411764704,69.57928802588975,87.66404199475068,47.680000000000014,56.80147058823537,61.03351955307262,67.51592356687897,71.43227572869452,77.74816602563953,-0.962135338345842,-0.0120075187969925,-0.0099323308270704,0.2047218045112774,-7.255639097748588e-05,2.627894736842091,0.0447593984962404,-0.0311804511278213,10.50629326669794,1.118586719484266,2356.73,2.3566666666666665,100.95666666666666,52.340000000000025,2.6363333333333334,1254.8333333333333,13.10333333333333,90.59666666666664,78.16333389282227,1239.3133138020833,-0.9270000000004076,0.0029999999999998,0.1409999999999865,0.4669999999999998,0.0133,0.1499999999999282,0.1579999999999977,0.0309999999999962,-2.926000213623052,0.7569946289061436,-0.0003932698671284,0.0212328915437115,-2,1,3,Orderly Decline,2.8284271247461903,"5d%: -0.07%, MA20: -0.96, RSI: 60.3, VIX: 14.05, ATR: -0.0004, BBW: 0.02, Score: [-2, 1, 3], Dist: 2.83",Orderly Decline,2.8284271247461903,Trend Pullback,3.1622776601683795,0.33385053542218923,True,2017
2017-04-11,2353.92,2355.22,2337.25,2353.78,3120900000.0,2.34,2.34,2.29,2.3,0.0,100.96,101.08,100.58,100.71,0.0,53.13,53.45,52.7,53.4,598003.0,2.607,2.624,2.583,2.608,99909.0,1256.8,1277.4,1254.7,1274.2,292142.0,14.32,15.88,14.17,15.07,0.0,90.55,90.74,90.0,90.74,617221.0,104.36000061035156,104.36000061035156,104.36000061035156,104.36000061035156,0.0,1247.449951171875,1247.449951171875,1247.449951171875,1247.449951171875,0.0,-0.2703206562266858,-2.1276595744681,0.169086930574891,4.644326866549076,-0.1531393568147021,1.2555626191989688,27.82018659881256,0.4316546762589857,57.52452922317217,1.018727161922306,-0.2030891599570927,-4.564315352697113,1.002908434459937,10.399007649369452,-2.5411061285500747,1.48136349155783,30.702515177797054,0.3872109746653418,63.26658886084496,1.5218678471515812,54.2592296627781,36.111111111111086,65.7492354740058,87.01657458563538,46.30541871921184,67.13286713286713,64.41326530612244,66.11295681063126,70.46880979901027,79.17491518920004,-0.8151954887218907,-0.0102105263157895,0.0161879699248113,0.2464661654135324,-0.0010977443609023,2.205789473684228,0.0605488721804509,-0.0190902255639106,9.604323328348034,1.2156318836642046,2355.4933333333333,2.343333333333333,100.96999999999998,52.906666666666695,2.619666666666667,1261.8,13.996666666666664,90.65,86.60666783650716,1242.5633138020833,-0.3410000000001533,0.0029999999999998,0.1579999999999828,0.5189999999999985,-0.0049000000000005,-0.0200000000000272,0.4499999999999999,0.111999999999984,11.459000587463374,2.5049926757812244,-0.0001448733526498,0.0212476783726422,-2,1,3,Orderly Decline,2.8284271247461903,"5d%: -0.27%, MA20: -0.82, RSI: 54.3, VIX: 15.07, ATR: -0.0001, BBW: 0.02, Score: [-2, 1, 3], Dist: 2.83",Orderly Decline,2.8284271247461903,Trend Pullback,3.1622776601683795,0.33385053542218923,True,2017
2017-04-17,2332.62,2349.14,2332.51,2349.01,2826890000.0,2.22,2.25,2.22,2.25,0.0,100.47,100.47,100.0,100.3,0.0,52.97,53.21,52.55,52.65,326340.0,2.5655,2.6115,2.5565,2.596,67129.0,1292.4,1297.4,1283.1,1291.9,191665.0,16.19,16.28,14.6,14.66,0.0,89.82,90.3,89.64,90.28,802300.0,-38.5,-38.5,-38.5,-38.5,0.0,,,,,,-0.2772188118223329,-5.063291139240511,-0.8697371021941236,0.784839203675336,-1.9267094824329312,2.7519287361807088,13.908313908313907,-0.2430939226519379,-166.7707251159973,-0.53747124794713,-0.58026342520483,-6.25,-0.0498256103637295,4.051383399209474,-2.1300659754948104,3.252877237851659,18.51253031527891,-0.5945826910372043,-132.90035985681357,-0.7059981575890717,53.68787276341954,34.21052631578945,67.93650793650767,83.79120879120879,45.384615384615394,73.14578005115091,61.86813186813186,56.659619450317095,47.26600793872208,58.07701587520431,-0.6466315789474127,-0.009203007518797,0.0620827067669151,0.3355939849624057,-0.0036312030075188,1.8417293233082448,0.1648195488721802,0.0047293233082684,5.04765414546307,1.200006608317628,2340.9633333333336,2.26,100.54666666666668,52.98000000000002,2.5705,1286.1666666666667,15.463333333333331,90.00333333333333,-17.806666056315102,,-6.541000000000368,-0.0340000000000003,-0.1480000000000091,0.1909999999999936,-0.0212000000000002,8.659999999999846,0.7899999999999993,-0.2430000000000101,-27.113999938964845,-1.6550048828125912,-0.0027845773325785,0.0173816591453052,-2,1,3,Orderly Decline,2.8284271247461903,"5d%: -0.28%, MA20: -0.65, RSI: 53.7, VIX: 14.66, ATR: -0.0028, BBW: 0.02, Score: [-2, 1, 3], Dist: 2.83",Orderly Decline,2.8284271247461903,Trend Pullback,3.1622776601683795,0.33385053542218923,True,2017
2017-04-24,2370.33,2376.98,2369.19,2374.15,3711170000.0,2.31,2.31,2.27,2.27,0.0,98.79,99.33,98.79,99.09,0.0,49.68,50.22,49.03,49.23,517897.0,2.546,2.572,2.535,2.5525,69980.0,1280.0,1280.0,1266.0,1277.5,302842.0,11.56,12.01,10.82,10.84,0.0,91.47,91.6,91.16,91.39,698500.0,55.77999877929688,55.77999877929688,55.77999877929688,55.77999877929688,0.0,1244.4200439453125,1244.4200439453125,1244.4200439453125,1244.4200439453125,0.0,1.0702381003060868,0.8888888888888946,-1.2063808574277135,-6.495726495726495,-1.6756548536209448,-1.114637355832504,-26.05729877216917,1.2295081967213184,-244.88311371245945,1.1205674335734273,0.7900523871384069,-4.2194092827004255,-2.065625617711009,-5.76186830015315,-3.570079335096321,1.606617354648865,-15.773115773115764,0.983425414364647,-3.2604944035559247,0.5770734578570025,56.07395064667139,39.4736842105263,31.070496083551006,43.23962516733597,43.10810810810816,62.40760295670547,44.01244167962675,58.79017013232517,47.82195152767311,57.91883986670612,-0.6410150375939793,-0.0113533834586466,0.0120827067669149,0.1729849624060145,-0.0072154135338346,2.4645112781954763,0.1958646616541351,0.0016992481203008,-4.431654147635727,,2359.5600000000004,2.25,99.61666666666667,49.706666666666685,2.544,1283.4666666666665,13.206666666666663,90.89333333333332,21.869999488194782,1239.193359375,1.3009999999997324,0.0039999999999998,-0.0360000000000155,-0.8200000000000012,-0.0104000000000002,-1.590000000000133,-0.0330000000000009,0.1209999999999942,12.787999868392946,,0.0005479855948443,0.0180533825906598,-1,1,3,Trend Pullback,3.0,"5d%: +1.07%, MA20: -0.64, RSI: 56.1, VIX: 10.84, ATR: 0.0005, BBW: 0.02, Score: [-1, 1, 3], Dist: 3.00",Trend Pullback,3.0,Orderly Decline,3.0,0.0,True,2017
2017-05-17,2382.95,2384.87,2356.21,2357.03,4164760000.0,2.29,2.29,2.21,2.22,0.0,98.09,98.13,97.42,97.42,0.0,48.23,49.5,48.03,49.07,650107.0,2.549,2.5595,2.5265,2.5465,62285.0,1237.2,1261.5,1236.3,1258.7,377872.0,11.89,15.59,11.53,15.59,0.0,90.77,90.95,89.98,90.04,1293338.0,-100.44000244140624,-100.44000244140624,-100.44000244140624,-100.44000244140624,0.0,1240.1600341796875,1240.1600341796875,1240.1600341796875,1240.1600341796875,0.0,-1.7752736880269016,-7.883817427385886,-2.25744958362597,3.6763152334671423,2.0845860893966783,3.265239150053323,52.69343780607248,-2.0559121070379605,-1261.156148796132,-0.997085378273732,-1.3022741643042846,-3.8961038961038863,-1.8042536034673875,2.613969050606446,0.1179477098486314,0.816980376451748,45.97378277153559,-1.2394427991663903,728.0296907980335,-0.6305934098093213,33.54417254251368,40.47619047619053,30.87557603686629,50.52521008403362,43.090638930163465,46.42147117296219,78.76787678767877,32.358674463937675,34.65948088415625,38.63748091800564,2.4295338345864264,0.0076315789473683,-0.0279849624060159,-0.1535187969924817,-0.0029300751879699,-3.724436090225603,-0.1726315789473685,0.0386842105263123,-3.2882330964382427,0.5590834997650024,2386.673333333334,2.2966666666666664,98.14666666666666,48.86000000000002,2.545333333333333,1241.7,12.22,91.06,-30.146667321523022,1248.3200276692708,0.9959999999999578,-0.0220000000000001,-0.3830000000000112,0.3679999999999953,0.0142999999999998,4.079999999999933,0.0699999999999981,-0.0820000000000115,2.8250002861022923,0.4079956054686335,0.0004225656864783,0.0260430507884516,1,-2,3,Steady Climb,3.3166247903554,"5d%: -1.78%, MA20: +2.43, RSI: 33.5, VIX: 15.59, ATR: 0.0004, BBW: 0.03, Score: [1, -2, 3], Dist: 3.32",Steady Climb,3.3166247903554,Orderly Decline,3.7416573867739413,0.4250325964185415,True,2017
2017-05-23,2397.04,2400.85,2393.88,2398.42,3216560000.0,2.25,2.29,2.24,2.29,0.0,96.95,97.42,96.8,97.35,0.0,51.04,51.79,50.57,51.47,584139.0,2.6015,2.6015,2.5735,2.596,57915.0,1260.4,1263.8,1250.5,1255.5,275112.0,11.0,11.0,10.56,10.72,0.0,91.63,91.67,91.35,91.46,399539.0,64.1500015258789,64.1500015258789,64.1500015258789,64.1500015258789,0.0,1261.6400146484375,1261.6400146484375,1261.6400146484375,1261.6400146484375,0.0,-0.0937238354292713,-1.716738197424894,-0.7746407094078145,5.774763666255667,1.783963928641441,1.544807505661594,0.657276995305156,0.0109349371240963,-1012.517775410248,0.8110352054962577,0.0625803113996292,-4.9792531120332,-2.2492218094186223,12.18395815170008,3.923138510808633,3.239865142669207,7.63052208835342,-0.1310329766324613,-289.79290820675703,1.0970042078776387,54.17444219066935,47.368421052631575,33.27338129496391,68.75642343268242,61.33909287257017,53.65344467640919,50.16366612111293,52.53940455341501,56.02242232416484,59.10362453152175,-0.3118571428571858,-0.0025488721804511,-0.0818045112781961,0.0449774436090207,-0.0028883458646617,-0.9529323308270784,0.1144586466165411,-0.0463082706766937,-5.794932460605651,-0.2377230307213279,2391.3900000000003,2.263333333333333,97.16,50.84333333333336,2.591,1256.8333333333333,11.23,91.29,36.20000068346659,1256.7833251953125,1.139999999999873,-0.0130000000000002,-0.2530000000000136,0.5399999999999924,0.0124999999999998,4.489999999999693,-0.2990000000000001,0.0909999999999886,20.62200038433075,2.350988769531057,0.0004753129143352,0.0191310734834044,-1,1,3,Trend Pullback,3.0,"5d%: -0.09%, MA20: -0.31, RSI: 54.2, VIX: 10.72, ATR: 0.0005, BBW: 0.02, Score: [-1, 1, 3], Dist: 3.00",Trend Pullback,3.0,Orderly Decline,3.0,0.0,True,2017
2017-07-12,2435.75,2445.76,2435.75,2443.25,3176900000.0,2.35,2.35,2.3,2.33,0.0,95.78,95.98,95.51,95.79,0.0,45.74,46.48,45.11,45.49,963505.0,2.675,2.6985,2.672,2.684,59007.0,1216.5,1225.2,1212.5,1219.1,262766.0,10.85,10.85,10.08,10.3,0.0,92.92,93.25,92.92,93.08,1126600.0,48.630001068115234,48.630001068115234,48.630001068115234,48.630001068115234,0.0,1303.2900390625,1303.2900390625,1303.2900390625,1303.2900390625,0.0,0.4402805298165724,0.0,-0.519264721154844,0.7976955461998614,1.321253303133263,-0.1065240887164309,-6.955736224028907,0.1614118153448807,93.12946973284696,0.4485705635422832,0.9866164058560444,5.909090909090908,-0.7048823468435716,2.8254972875225937,1.3978088401964683,-2.229529232496608,-6.871609403254975,0.812303693274119,-300.37082880465744,1.514200556625811,52.71692745376952,75.00000000000003,27.365728900256187,65.7112526539278,67.01244813278014,33.374844333748314,47.386759581881535,55.63380281690142,60.18888000140947,77.87259793508866,-1.0131804511278704,0.0137067669172931,-0.0996691729323338,0.0454586466165409,0.006360902255639,-2.832330661654173,0.0520977443609019,-0.0451203007518815,-1.5898721621448846,,2432.07,2.353333333333333,95.86,44.97666666666669,2.667833333333333,1215.6666666666667,10.766666666666666,92.68,4.270000139872233,1296.8699951171875,0.3659999999999976,0.0059999999999997,-0.0870000000000131,-0.1300000000000057,0.0032000000000001,-2.15000400000013,-0.1790000000000017,-0.0370000000000083,-2.2329998016357417,,0.0001498004706845,0.0161468197639939,-2,1,3,Orderly Decline,2.8284271247461903,"5d%: +0.44%, MA20: -1.01, RSI: 52.7, VIX: 10.30, ATR: 0.0001, BBW: 0.02, Score: [-2, 1, 3], Dist: 2.83",Orderly Decline,2.8284271247461903,Trend Pullback,3.1622776601683795,0.33385053542218923,True,2017
2017-07-13,2444.99,2449.32,2441.69,2447.83,3068510000.0,2.33,2.37,2.33,2.35,0.0,95.78,95.92,95.46,95.73,0.0,45.44,46.28,44.99,46.08,748971.0,2.685,2.6965,2.66,2.6615,57787.0,1219.2,1223.6,1215.6,1217.3,227820.0,10.07,10.4,9.9,9.9,0.0,93.18,93.39,93.06,93.35,594101.0,39.36000061035156,39.36000061035156,39.36000061035156,39.36000061035156,0.0,1303.8800048828125,1303.8800048828125,1303.8800048828125,1303.8800048828125,0.0,1.5802469135802522,-0.8438818565400852,-0.0939261114589751,1.2302284710017375,0.0,-0.4904765797433152,-21.05263157894736,1.5667500816015645,-149.4099909627211,1.4629477908785438,0.2925402242808239,5.8558558558558405,-0.3331598125975943,2.9950827000446933,0.0375869197519307,-2.545832999759823,-1.296111665004973,0.3224073078989864,-1.6983024216467468,0.8055946268147318,54.62622336364266,76.31578947368425,27.088607594937105,67.04081632653057,61.99616122840689,29.55414012738828,46.681922196796336,57.43243243243241,57.41337945477506,77.25456698639653,-0.7123082706767209,0.0145939849624059,-0.1075563909774447,0.0893157894736832,0.0066364661654134,-2.722029939849643,0.0382781954887217,-0.0279699248120321,0.3042180418071885,,2438.8700000000003,2.3466666666666662,95.75333333333332,45.53666666666669,2.6725000000000008,1217.0333333333333,10.363333333333332,92.95666666666666,24.0600004196167,1300.510009765625,6.734999999999815,-0.0110000000000001,-0.0329999999999998,0.0749999999999946,0.0069999999999997,-0.3400000000001878,-0.4780000000000001,0.2279999999999961,25.82800092697144,3.73402099609374,0.0027514165607905,0.0170576872881175,-1,1,3,Trend Pullback,3.0,"5d%: +1.58%, MA20: -0.71, RSI: 54.6, VIX: 9.90, ATR: 0.0028, BBW: 0.02, Score: [-1, 1, 3], Dist: 3.00",Trend Pullback,3.0,Orderly Decline,3.0,0.0,True,2017
2017-08-10,2465.38,2465.38,2437.75,2438.21,3635820000.0,2.24,2.24,2.21,2.21,0.0,93.5,93.81,93.32,93.4,0.0,49.68,50.22,48.35,48.59,1135440.0,2.928,2.939,2.8935,2.903,85514.0,1283.2,1293.8,1280.3,1290.1,269830.0,11.57,16.17,11.56,16.04,0.0,93.23,93.3,92.23,92.26,670107.0,-248.1000061035156,-248.1000061035156,-248.1000061035156,-248.1000061035156,0.0,1296.2900390625,1296.2900390625,1296.2900390625,1296.2900390625,0.0,-1.3732929907449232,-0.8968609865470878,0.6357073591207962,-0.8974097491331823,0.8686587908269594,1.2319522912743075,53.639846743295024,-1.5578318395219726,334.0447984006568,-1.7589966606669227,-1.5031792584692671,-4.329004329004338,-0.4900916258256949,-0.9176182707993364,0.8861859252823567,2.388888888888885,58.654797230464894,-2.184054283290915,7955.195202894215,-1.8683189011093448,29.120544945870392,47.61904761904762,41.96428571428579,66.16972477064219,80.23450586264653,71.00238663484471,91.23456790123458,20.46109510086471,14.187127381296309,27.33261842488983,1.0006766917293035,-0.0027593984962406,-0.1173233082706794,0.223729323308269,0.0145924812030074,2.6575187969924525,0.0578270676691728,-0.0028646616541368,-10.145060128735423,0.4023820231731431,2462.3833333333337,2.2433333333333327,93.52,49.10666666666669,2.924166666666667,1277.3333333333333,12.703333333333331,93.19666666666666,-163.21666971842447,1308.1466471354167,0.1809999999998199,0.0029999999999999,0.1519999999999951,0.0649999999999934,0.0155499999999997,0.77999999999989,0.2269999999999989,-0.0370000000000076,-23.679000854492188,-2.3170166015626177,7.423478699530392e-05,0.0158083554943828,1,-2,2,Steady Climb,3.1622776601683795,"5d%: -1.37%, MA20: +1.00, RSI: 29.1, VIX: 16.04, ATR: 0.0001, BBW: 0.02, Score: [1, -2, 2], Dist: 3.16",Steady Climb,3.1622776601683795,Orderly Decline,3.3166247903554,0.1543471301870203,True,2017
2017-08-30,2446.06,2460.31,2443.77,2457.59,2637780000.0,2.14,2.15,2.13,2.14,0.0,92.3,92.95,92.25,92.88,0.0,46.31,46.72,45.84,45.96,895643.0,3.105,3.1175,3.084,3.087,73060.0,1314.8,1319.3,1310.1,1314.1,460450.0,11.4,11.98,10.96,11.22,0.0,92.2,92.81,92.11,92.7,301833.0,28.15999984741211,28.15999984741211,28.15999984741211,28.15999984741211,0.0,1310.3800048828125,1310.3800048828125,1310.3800048828125,1310.3800048828125,0.0,0.5544099114580758,-1.3824884792626668,-0.2898550724637738,-5.0609378227638775,3.573225968797189,1.498416621611165,-8.408163265306111,0.4769130717537262,-178.00554304067103,0.6189000342593953,-0.4262370801949688,-4.035874439461873,-0.6524762006631768,-1.752885848653274,4.520060944641946,2.431990022605013,-4.429301533219753,-0.5578202102553109,-129.31195996342782,0.3392207876697251,57.22918531781557,40.00000000000003,44.62809917355366,36.1724500525762,82.05574912892,64.88833746898248,34.0185676392573,54.19847328244274,74.37874992412979,62.156987068357175,-2.1847218045113634,-0.0056992481203008,-0.0289999999999988,-0.1434586466165424,0.0094481203007518,2.1210526315789333,0.0677443609022552,-0.103451127819552,4.061609061320027,-0.955413680686124,2449.376666666667,2.1466666666666665,92.47999999999998,46.32333333333335,3.077,1316.1,11.413333333333332,92.43666666666668,12.326666673024496,1308.3699951171875,0.9789999999999902,-0.0090000000000001,-0.2670000000000163,-0.480000000000007,0.0229999999999999,7.169999999999813,-0.2010000000000013,0.0209999999999982,10.99699964523316,1.4440063476561578,0.0003983577407134,0.0287896786624552,-1,1,3,Trend Pullback,3.0,"5d%: +0.55%, MA20: -2.18, RSI: 57.2, VIX: 11.22, ATR: 0.0004, BBW: 0.03, Score: [-1, 1, 3], Dist: 3.00",Trend Pullback,3.0,Orderly Decline,3.0,0.0,True,2017
