Date,Open_NYAD,High_NYAD,Low_NYAD,Close_NYAD,Volume_NYAD,Open_NYMO,High_NYMO,Low_NYMO,Close_NYMO,Volume_NYMO
2005-01-03,182.490005,182.490005,182.490005,182.490005,0.0,,,,,
2005-01-04,175.470001,175.470001,175.470001,175.470001,0.0,,,,,
2005-01-05,169.610001,169.610001,169.610001,169.610001,0.0,,,,,
2005-01-06,171.800003,171.800003,171.800003,171.800003,0.0,,,,,
2005-01-07,169.490005,169.490005,169.490005,169.490005,0.0,,,,,
2005-01-10,173.470001,173.470001,173.470001,173.470001,0.0,,,,,
2005-01-11,169.5,169.5,169.5,169.5,0.0,,,,,
2005-01-12,170.139999,170.139999,170.139999,170.139999,0.0,,,,,
2005-01-13,168.240005,168.240005,168.240005,168.240005,0.0,,,,,
2005-01-14,173.300003,173.300003,173.300003,173.300003,0.0,,,,,
2005-01-18,179.020004,179.020004,179.020004,179.020004,0.0,,,,,
2005-01-19,175.479996,175.479996,175.479996,175.479996,0.0,,,,,
2005-01-20,170.110001,170.110001,170.110001,170.110001,0.0,,,,,
2005-01-21,168.710007,168.710007,168.710007,168.710007,0.0,,,,,
2005-01-24,164.949997,164.949997,164.949997,164.949997,0.0,,,,,
2005-01-25,165.309998,165.309998,165.309998,165.309998,0.0,,,,,
2005-01-26,170.470001,170.470001,170.470001,170.470001,0.0,,,,,
2005-01-27,171.869995,171.869995,171.869995,171.869995,0.0,,,,,
2005-01-28,170.850006,170.850006,170.850006,170.850006,0.0,,,,,
2005-01-31,178.080002,178.080002,178.080002,178.080002,0.0,,,,,
2005-02-01,183.149994,183.149994,183.149994,183.149994,0.0,,,,,
2005-02-02,186.380005,186.380005,186.380005,186.380005,0.0,,,,,
2005-02-03,185.110001,185.110001,185.110001,185.110001,0.0,,,,,
2005-02-04,191.850006,191.850006,191.850006,191.850006,0.0,,,,,
2005-02-07,192.210007,192.210007,192.210007,192.210007,0.0,,,,,
2005-02-08,193.179993,193.179993,193.179993,193.179993,0.0,,,,,
2005-02-09,188.229996,188.229996,188.229996,188.229996,0.0,,,,,
2005-02-10,190.470001,190.470001,190.470001,190.470001,0.0,,,,,
2005-02-11,194.949997,194.949997,194.949997,194.949997,0.0,,,,,
2005-02-14,196.029999,196.029999,196.029999,196.029999,0.0,,,,,
2005-02-15,196.639999,196.639999,196.639999,196.639999,0.0,,,,,
2005-02-16,197.130005,197.130005,197.130005,197.130005,0.0,,,,,
2005-02-17,192.470001,192.470001,192.470001,192.470001,0.0,,,,,
2005-02-18,189.880005,189.880005,189.880005,189.880005,0.0,,,,,
2005-02-22,182.110001,182.110001,182.110001,182.110001,0.0,,,,,
2005-02-23,185.529999,185.529999,185.529999,185.529999,0.0,,,,,
2005-02-24,190.169998,190.169998,190.169998,190.169998,0.0,,,,,
2005-02-25,197.479996,197.479996,197.479996,197.479996,0.0,,,,,
2005-02-28,194.630005,194.630005,194.630005,194.630005,0.0,,,,,
2005-03-01,198.710007,198.710007,198.710007,198.710007,0.0,,,,,
2005-03-02,198.229996,198.229996,198.229996,198.229996,0.0,,,,,
2005-03-03,198.970001,198.970001,198.970001,198.970001,0.0,,,,,
2005-03-04,206.100006,206.100006,206.100006,206.100006,0.0,,,,,
2005-03-07,206.429993,206.429993,206.429993,206.429993,0.0,,,,,
2005-03-08,202.509995,202.509995,202.509995,202.509995,0.0,,,,,
2005-03-09,195.460007,195.460007,195.460007,195.460007,0.0,,,,,
2005-03-10,193.449997,193.449997,193.449997,193.449997,0.0,,,,,
2005-03-11,190.779999,190.779999,190.779999,190.779999,0.0,,,,,
2005-03-14,192.929993,192.929993,192.929993,192.929993,0.0,,,,,
2005-03-15,188.839996,188.839996,188.839996,188.839996,0.0,,,,,
2005-03-16,183.479996,183.479996,183.479996,183.479996,0.0,,,,,
2005-03-17,186.139999,186.139999,186.139999,186.139999,0.0,,,,,
2005-03-18,182.550003,182.550003,182.550003,182.550003,0.0,,,,,
2005-03-21,178.039993,178.039993,178.039993,178.039993,0.0,,,,,
2005-03-22,172.460007,172.460007,172.460007,172.460007,0.0,,,,,
